pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election,R_seats,D_seats,Other_seats,winner_party,R_majorvote_pct,D_majorvote_pct,president_party,H_incumbent_party,H_incumbent_party_winner,H_incumbent_party_majorvote_pct,rdi,rdi_change,rdi_change_pct,midterm_year,poll_margin,D_votemargin,poll_vote_diff
NA,1000,NA,42,39,10,9,2000,10,12,27.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,3,-0.45999999999999375,-7.770000000000003
NA,1000,NA,36,41,9,19,2000,9,24,46.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-5,-0.45999999999999375,-13.770000000000003
NA,1027,NA,48,42,10,9,2000,10,10,28.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,6,-0.45999999999999375,-1.7700000000000031
NA,636,NA,43,42,10,4,2000,10,5,33.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,1,-0.45999999999999375,-6.770000000000003
NA,1000,NA,41,39,10,4,2000,10,9,31.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-8.770000000000003
NA,2350,NA,49,45,11,5,2000,11,6,1.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,4,-0.45999999999999375,-0.7700000000000031
NA,1000,NA,39,40,9,21,2000,9,26,44.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-1,-0.45999999999999375,-10.770000000000003
NA,1000,NA,41,39,10,25,2000,10,30,10.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-8.770000000000003
NA,1000,NA,38,41,9,20,2000,9,25,45.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-3,-0.45999999999999375,-11.770000000000003
NA,1805,NA,47,43,11,1,2000,11,4,4.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,4,-0.45999999999999375,-2.770000000000003
NA,2386,NA,48,47,11,4,2000,11,5,2.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,1,-0.45999999999999375,-1.7700000000000031
NA,1026,NA,44,47,11,3,2000,11,5,3,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-3,-0.45999999999999375,-5.770000000000003
NA,825,NA,38,38,10,18,2000,10,21,18.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,0,-0.45999999999999375,-11.770000000000003
NA,1000,NA,42,38,10,24,2000,10,29,11.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,4,-0.45999999999999375,-7.770000000000003
NA,1000,NA,40,37,9,27,2000,10,2,38.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,3,-0.45999999999999375,-9.770000000000003
NA,1000,NA,43,41,10,29,2000,11,1,7.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-6.770000000000003
NA,1000,NA,36,40,9,18,2000,9,21,48.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-4,-0.45999999999999375,-13.770000000000003
NA,800,NA,47,43,10,18,2000,10,20,19,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,4,-0.45999999999999375,-2.770000000000003
NA,766,NA,46,46,9,20,2000,9,22,47,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,0,-0.45999999999999375,-3.770000000000003
Ipsos-Reid/Cook Political Report,791.5999756,NA,45,44,10,28,2002,10,31,6.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,-2.450000000000003
CNN/Time,1074.06665,NA,50,41,10,21,2002,10,22,14.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,9,-5.099999999999994,2.549999999999997
Investor's Bussiness Daily/Christain Science Monitor,912,NA,47,40,10,7,2002,10,13,26,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,7,-5.099999999999994,-0.45000000000000284
Zogby America,1001,NA,47,44,10,22,2002,10,24,13,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,3,-5.099999999999994,-0.45000000000000284
Ipsos-Reid/Cook Political Report,791.5999756,NA,40,40,9,22,2002,9,23,43.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,-7.450000000000003
"Greenberg, Quinlan, Rosner, Research (D)",1035,NA,46,44,10,30,2002,11,2,4.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,2,-5.099999999999994,-1.4500000000000028
Ipsos-Reid/Cook Political Report,505,NA,45,44,10,25,2002,10,31,8,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,-2.450000000000003
CBS News Poll,1417.666626,NA,46,43,10,10,2002,10,11,25.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,3,-5.099999999999994,-1.4500000000000028
CNN/Time,1061,NA,49,44,10,31,2002,11,3,3.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,5,-5.099999999999994,1.5499999999999972
Princeton Survey Research Associates,1054.966675,NA,44,43,9,20,2002,9,22,45,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,-3.450000000000003
ABC,1028,NA,49,47,9,23,2002,9,26,41.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,2,-5.099999999999994,1.5499999999999972
CBS News/New York Times,927.666687,NA,46,44,9,30,2002,10,2,35,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,2,-5.099999999999994,-1.4500000000000028
Zogby America,1001,NA,46,44,9,30,2002,10,2,35,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,2,-5.099999999999994,-1.4500000000000028
"Greenberg, Quinlan, Rosner, Research (D)",304,NA,46,43,10,3,2002,10,5,32,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,3,-5.099999999999994,-1.4500000000000028
Public Opinion Strategies,1006,NA,51,49,10,26,2002,10,29,8.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,2,-5.099999999999994,3.549999999999997
CNN/Time,787.4666748,NA,48,47,10,3,2002,10,6,31.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,0.5499999999999972
Pew Research,775,NA,44,44,10,15,2002,10,17,20,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,-3.450000000000003
Associated Press Poll,581,NA,43,46,10,24,2002,10,25,11.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-3,-5.099999999999994,-4.450000000000003
CNN/USA Today/Gallup Poll,955.9666748,NA,48,43,10,3,2002,10,6,31.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,5,-5.099999999999994,0.5499999999999972
CNN/Time,787.4666748,NA,50,46,9,20,2002,9,22,45,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,4,-5.099999999999994,2.549999999999997
Ipsos-Reid/Cook Political Report,505,NA,46,43,10,3,2002,10,5,32,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,3,-5.099999999999994,-1.4500000000000028
"Greenberg, Quinlan, Rosner, Research (D)",1158,NA,46,44,10,2,2002,10,2,34,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,2,-5.099999999999994,-1.4500000000000028
ABC,845,NA,48,48,10,31,2002,11,3,3.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,0.5499999999999972
ABC,1417.666626,NA,46,42,9,23,2002,9,26,41.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,4,-5.099999999999994,-1.4500000000000028
CNN/USA Today/Gallup Poll,1012,NA,39,39,10,18,2002,10,21,16.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,-8.450000000000003
"Greenberg, Quinlan, Rosner, Research (D)",669,NA,40,47,10,27,2002,10,31,7,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-7,-5.099999999999994,-7.450000000000003
Princeton Survey Research Associates,1054.966675,NA,44,43,9,16,2002,9,19,48.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,-3.450000000000003
"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",882,NA,47,43,10,23,2002,10,24,12.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,4,-5.099999999999994,-0.45000000000000284
Zogby America,1001,NA,45,45,9,17,2002,9,22,46.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,-2.450000000000003
Fox News/Opinion Dynamics,869,NA,43,41,10,2,2002,10,2,34,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,2,-5.099999999999994,-4.450000000000003
Fox News/Opinion Dynamics,769,NA,39,44,10,2,2002,10,2,34,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-5,-5.099999999999994,-8.450000000000003
Ipsos-Reid/Cook Political Report,505,NA,45,45,10,28,2002,10,31,6.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,-2.450000000000003
CBS News/New York Times,927.666687,NA,45,45,9,17,2002,9,22,46.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,-2.450000000000003
CBS News/New York Times,1001,NA,47,44,10,22,2002,10,24,13,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,3,-5.099999999999994,-0.45000000000000284
CBS News/New York Times,900,NA,40,41,10,22,2002,10,23,13.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-1,-5.099999999999994,-7.450000000000003
Democracy Corps Poll,762,NA,45,41,10,14,2002,10,17,20.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,4,-5.099999999999994,-2.450000000000003
Ipsos-Reid/Cook Political Report,791.5999756,NA,44,43,9,16,2002,9,19,48.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,-3.450000000000003
Ipsos-Reid/Cook Political Report,791.5999756,NA,44,43,9,20,2002,9,22,45,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,-3.450000000000003
Ipsos-Reid/Cook Political Report,791.5999756,NA,46,40,10,25,2002,10,27,10,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,6,-5.099999999999994,-1.4500000000000028
Public Opinion Strategies,1395.666626,NA,47,40,10,2,2002,10,2,34,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,7,-5.099999999999994,-0.45000000000000284
CBS News/New York Times,882,NA,47,43,10,2,2002,10,2,34,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,4,-5.099999999999994,-0.45000000000000284
Ipsos-Reid/Cook Political Report,505,NA,44,47,11,1,2002,11,3,3,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-3,-5.099999999999994,-3.450000000000003
NBC News/Wall Street Journal Poll,1012,NA,42,43,10,18,2002,10,21,16.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-1,-5.099999999999994,-5.450000000000003
CNN/USA Today/Gallup Poll,955.9666748,NA,48,43,9,20,2002,9,22,45,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,5,-5.099999999999994,0.5499999999999972
Princeton Survey Research Associates,1054.966675,NA,44,43,10,1,2002,10,3,34,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,-3.450000000000003
"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,NA,40,40,9,22,2002,9,23,43.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,-7.450000000000003
Ipsos-Reid/Cook Political Report,791.5999756,NA,44,44,10,15,2002,10,17,20,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,0,-5.099999999999994,-3.450000000000003
CBS News Poll,1314.599976,NA,47,40,9,26,2002,9,27,39.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,7,-5.099999999999994,-0.45000000000000284
Ipsos-Reid/Cook Political Report,791.5999756,NA,44,43,10,1,2002,10,3,34,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,1,-5.099999999999994,-3.450000000000003
CNN/Time,873,NA,49,46,10,21,2002,10,22,14.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,3,-5.099999999999994,1.5499999999999972
ABC,1211,NA,47,49,10,24,2002,10,27,10.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-2,-5.099999999999994,-0.45000000000000284
CNN/Time,715,NA,45,51,10,31,2002,11,3,3.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-6,-5.099999999999994,-2.450000000000003
CBS News/New York Times,927.666687,NA,40,42,10,8,2002,10,9,27.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-2,-5.099999999999994,-7.450000000000003
NBC News/Wall Street Journal Poll,800,NA,39,42,9,15,2002,9,19,49,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-3,-5.099999999999994,-8.450000000000003
Princeton Survey Research Associates,1012,NA,42,43,10,18,2002,10,21,16.5,229,204,1,R,52.55,47.45,R,R,TRUE,52.55,10090.6,79.30000000000109,0.7921049214387743,midterm,-1,-5.099999999999994,-5.450000000000003
Newsweek,1045,NA,49,38,10,26,2006,10,27,11.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-5.090000000000003
USA Today/Gallup,1362,NA,58,35,10,6,2006,10,8,31,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,23,8.180000000000007,3.9099999999999966
Newsweek,838,NA,51,39,10,5,2006,10,6,32.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,12,8.180000000000007,-3.0900000000000034
Diageo/Hotline,1000,NA,43,33,9,24,2006,9,26,43,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,10,8.180000000000007,-11.090000000000003
Associated Press/AOL News,970,NA,56,37,10,20,2006,10,25,15.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,19,8.180000000000007,1.9099999999999966
Fox News/Opinion Dynamics,900,NA,49,38,10,24,2006,10,25,13.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-5.090000000000003
USA Today/Gallup,1007,NA,59,36,10,6,2006,10,8,31,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,23,8.180000000000007,4.909999999999997
USA Today/Gallup,1007,NA,54,41,10,20,2006,10,22,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-0.09000000000000341
Fox News/Opinion Dynamics,900,NA,50,41,10,10,2006,10,11,27.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-4.090000000000003
Newsweek,1205,NA,55,32,10,19,2006,10,20,18.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,23,8.180000000000007,0.9099999999999966
Democracy Corps,1135,NA,48,39,10,19,2006,10,23,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-6.090000000000003
ABC News/Washington Post,1205,NA,52,37,10,30,2006,11,2,6.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-2.0900000000000034
Fox News/Opinion Dynamics,900,NA,49,36,11,4,2006,11,5,2.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-5.090000000000003
CNN,636,NA,55,42,9,22,2006,9,24,45,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,0.9099999999999966
The Harris Poll,795,NA,49,36,10,6,2006,10,9,30.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-5.090000000000003
Newsweek,1045,NA,51,38,10,5,2006,10,6,32.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-3.0900000000000034
USA Today/Gallup,923,NA,58,35,10,6,2006,10,8,31,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,23,8.180000000000007,3.9099999999999966
CNN,636,NA,56,40,10,13,2006,10,15,24,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,16,8.180000000000007,1.9099999999999966
Cook Political Report/RT Strategies,807,NA,57,35,10,19,2006,10,22,17.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,22,8.180000000000007,2.9099999999999966
Cook Political Report/RT Strategies,1764,NA,49,38,10,5,2006,10,8,31.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-5.090000000000003
Newsweek,1205,NA,53,32,11,2,2006,11,3,4.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,21,8.180000000000007,-1.0900000000000034
Cook Political Report/RT Strategies,1764,NA,52,39,10,26,2006,10,29,10.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-2.0900000000000034
Associated Press/AOL News,970,NA,53,36,10,2,2006,10,4,35,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,17,8.180000000000007,-1.0900000000000034
CNN,934,NA,54,38,10,27,2006,10,29,10,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,16,8.180000000000007,-0.09000000000000341
USA Today/Gallup,923,NA,53,38,10,20,2006,10,22,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-1.0900000000000034
USA Today/Gallup,1007,NA,51,44,11,2,2006,11,5,3.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,7,8.180000000000007,-3.0900000000000034
CNN,934,NA,54,39,11,3,2006,11,5,3,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-0.09000000000000341
Newsweek,838,NA,55,37,10,19,2006,10,20,18.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,18,8.180000000000007,0.9099999999999966
USA Today/Gallup,1362,NA,51,40,11,2,2006,11,5,3.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-3.0900000000000034
CNN,934,NA,54,41,9,22,2006,9,24,45,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-0.09000000000000341
Associated Press/AOL News,1621,NA,54,38,10,2,2006,10,4,35,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,16,8.180000000000007,-0.09000000000000341
USA Today/Gallup,923,NA,50,43,10,21,2006,10,23,16,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,7,8.180000000000007,-4.090000000000003
Pew Research Center,2369,NA,51,38,9,21,2006,10,4,40.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-3.0900000000000034
Newsweek,1045,NA,52,36,11,2,2006,11,3,4.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,16,8.180000000000007,-2.0900000000000034
Pew Research Center,1795,NA,47,43,11,1,2006,11,4,4.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,4,8.180000000000007,-7.090000000000003
NBC News/Wall Street Journal,1010,NA,52,37,10,28,2006,10,30,9,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-2.0900000000000034
NBC News/Wall Street Journal,1006,NA,48,39,10,8,2006,10,10,29,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-6.090000000000003
Democracy Corps,1135,NA,48,40,11,2,2006,11,6,3,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,8,8.180000000000007,-6.090000000000003
Diageo/Hotline,1000,NA,40,31,10,12,2006,10,16,24,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-14.090000000000003
Newsweek,1045,NA,51,37,10,19,2006,10,20,18.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,14,8.180000000000007,-3.0900000000000034
CNN,934,NA,56,39,10,20,2006,10,22,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,17,8.180000000000007,1.9099999999999966
USA Today/Gallup,1362,NA,50,43,10,21,2006,10,23,16,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,7,8.180000000000007,-4.090000000000003
ABC News/Washington Post,1204,NA,55,37,10,30,2006,11,2,6.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,18,8.180000000000007,0.9099999999999966
Fox News/Opinion Dynamics,900,NA,49,38,9,26,2006,9,27,41.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-5.090000000000003
Pew Research Center,2369,NA,49,38,10,17,2006,10,22,18.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-5.090000000000003
CNN,636,NA,53,42,9,29,2006,10,2,37.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-1.0900000000000034
Newsweek,838,NA,53,39,10,26,2006,10,27,11.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,14,8.180000000000007,-1.0900000000000034
The Harris Poll,795,NA,47,33,10,20,2006,10,23,16.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,14,8.180000000000007,-7.090000000000003
Pew Research Center,2369,NA,48,40,11,1,2006,11,4,4.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,8,8.180000000000007,-6.090000000000003
USA Today/Gallup,827.2069702,NA,59,36,10,6,2006,10,8,31,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,23,8.180000000000007,4.909999999999997
George Washington University Battleground,1000,NA,47,41,10,9,2006,10,12,27.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,6,8.180000000000007,-7.090000000000003
ABC News/Washington Post,1205,NA,53,43,11,1,2006,11,4,4.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,10,8.180000000000007,-1.0900000000000034
